year;immigration;termfreq;;seats total;CDU/CSU;SPD;GRUENE;FDP;LINKE/PDS;fraktionslos
1991;1198978;;;;;;;;;
1992;1502198;;;;;;;;;
1993;1277408;;;;;;;;;
1994;1082553;;;;;;;;;
1995;1096048;;;;;;;;;
1996;959691;428;;672;295;254;48;47;30;1
1997;840633;558;;672;295;254;48;47;30;1
1998;802456;546;;672;295;254;48;47;30;1
1999;874023;1248;;665;245;292;47;43;37;1
2000;841158;222;;665;245;292;47;43;37;1
2001;879217;159;;665;245;292;47;43;37;1
2002;842543;136;;665;245;292;47;43;37;1
2003;768975;315;;601;247;249;59;47;;3
2004;780175;123;;601;247;249;59;47;;3
2005;707352;272;;601;247;249;59;47;;3
2006;661855;270;;611;222;221;51;61;53;3
2007;680766;257;;611;222;221;51;61;53;3
2008;682146;593;;611;222;221;51;61;53;3
2009;721014;361;;611;222;221;51;61;53;3
2010;798282;764;;620;237;146;68;93;75;1
2011;958299;576;;620;237;146;68;93;75;1
2012;1080936;330;;620;237;146;68;93;75;1
2013;1226493;536;;620;237;146;68;93;75;1
2014;1464724;952;;630;309;193;63;;64;1
2015;2136954;320;;630;309;193;63;;64;1
2016;1865122;560;;630;309;193;63;;64;1
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;   count year;;;;;;;;
;; 1:    1996;;;;;;;;
;; 2:   558 1997;;;;;;;;
;; 3:    1998;;;;;;;;
;; 4:   1999;;;;;;;;
;; 5:    2002;;;;;;;;
;; 6:    2003;;;;;;;;
;; 7:    2005;;;;;;;;
;; 8:    2007;;;;;;;;
;; 9:    2008;;;;;;;;
;;2009;;;;;;;;
;;1,854166667;;;;;;;;
;;1,896527778;;;;;;;;
;;1,938888889;;;;;;;;
;;1,98125;;;;;;;;
;;2,023611111;;;;;;;;
;;2,065972222;;;;;;;;
;;2,108333333;;;;;;;;
;;2,139583333;;;;;;;;
;;2,180555556;;;;;;;;
;;2,225;;;;;;;;
;;2,268055556;;;;;;;;
